Disease,Output,Causes,Symptoms,Remedies
Poison_Ivy_and_other_Contact_Dermatitis,You possibly have Contact Dermatitis,"Causes are:
-Contact with irritant
-Contact with allergen","Symptoms are:
-Itching, dryness, flaky skin
-Redness, swelling and burning sensation","Possible Remedies are 
Apply to skin: Cold Compresses, Calamine
Medicines to take: Antihistamines like Cetirizine, Diphenhydramine"
Psoriasis_Lichen_Planus_and_related_diseases,You possibly have Psoriasis,"Causes are:
-Overactive immune system
-Genetics","Symptoms are:
-Thick red patches of skin with silvery scales
-Itching and burning
-Dry, cracked skin
-Swollen and stiff joints","Possible Remedies are
Apply to skin: Corticosteroids like Prednisone, Hydrocortisone, Retinoids like Tretinoin, Tazarotene
Medicines to take: Cyclosporine"
Scabies_Lyme_Disease_and_other_Infestations_and_Bites,You possibly have Scabies or Lyme Disease,"Causes are:
-Contact with afflicted individual","Symptoms are:
-Itching and rashes","Possible Remedies are
If Scabies
Apply to skin: Permethrin cream
Medicines to take: Ivermectin
If Lyme Disease
Medicines to take: Doxycycline, Amoxicillin"
Seborrheic_Keratoses_and_other_Benign_Tumors,You possibly have Seborrheic Keratoses,"Causes are:
-Genetics
-Exposure to sun
-Hornmonal Changes","Symptoms are:
-Wart-like growths
-May cause itching and irritation","It is usually harmless and does not require treatment, but contact dermatologist if causing troubles"
Systemic_Disease,You possibly have a Systemic Disease,Causes vary based on disease,Symptoms vary from disease to disease,"Variety of Diseases, go to the nearest dermatologist to find out which one it actually is"
Tinea_Ringworm_Candidiasis_and_other_Fungal_Infections,You possibly have a Fungal Infection,"Causes are:
-Weakened immune system
-Exposure to excessive fungi","Symptoms are:
-Itching, burning and cracking
-Discolouration","Possible Remedies are
Apply to skin: Clotrimazole, Miconazole, Ketoconazole
Medicines to take: Terbinafine, Fluconazole
Antifungal products should be used as well"
Urticaria_Hives,You possibly have Hives,"Causes are:
-Allergic reaction to foods, medications or other substances
-Temperature changes
-Sunlight exposure","Symptoms are:
-Itchy red bumps on skin
-Burning or stinging sensation
-Warm skin","Possible Remedies are
Apply to skin: Calamine
Medicines to take: Antihistamines like Cetirizine, Diphenhydramine"
Vascular_Tumors,You possibly have a Vascular Tumor,"Causes are:
-Genetic mutations
-Abnormal blood vessel development
-Exposure to certain chemicals or radiation","Symptoms are:
-Swelling or lumps in affected area
-Redness or discolouration in affected area
-Bleeding or ulceration","Possible Remedies here depend on the type, size, location and symptoms
Visit the nearest dermatologist to figure out the specific treatment you need"
Vasculitis,You possibly have Vasculitis,Probable cause is abnormal immune system response,"Symptoms are:
-Fever and fatigue
-Weight loss
-Rashes
-Vision change
-Abdominal pain","Possible Remedies are
Medicines to take: 
-Colchicine, Corticosteroids like Prednisone, Hydrocortisone
-Immunosuppressants like Azathioprine, Cyclophosphamide
-Biologic agents like rituximab, tocilizumab"
Warts_Molluscum_and_other_Viral_Infections,You possibly have Warts,"Causes are:
-Infection with human papilloma virus(HPV)
-Contact spreading","Symptoms are:
-Small, fleshy, grainy bumps
-Rough to touch
-Black dots on skin","Possible Remedies are
Apply to skin: Salicyclic acid, Cantharidin, Imiquimod"
